"1","Disguise Self: Disguise own appearance."
"2","Invisibility: Subject invisible 1 min./level or until it attacks."
"3","Nondetection M : Hides subject from divination, scrying."
"4","Confusion: Subjects behave oddly for 1 round/level."
"5","False Vision M : Fools scrying with an illusion."
"6","Mislead: Turns you invisible and creates illusory double."
"7","Screen: Illusion hides area from vision, scrying."
"8","Polymorph Any Object: Changes any subject into anything else."
"9","Time Stop: You act freely for 1d4+1 rounds."

