"1","Detect Secret Doors: Reveals hidden doors within 60 ft."
"2","Detect Thoughts: Allows “listening” to surface thoughts."
"3","Clairaudience/Clairvoyance: Hear or see at a distance for 1 min./level."
"4","Divination M : Provides useful advice for specific proposed actions."
"5","True Seeing M : Lets you see all things as they really are."
"6","Find the Path: Shows most direct way to a location."
"7","Legend Lore MF : Lets you learn tales about a person, place, or thing."
"8","Discern Location: Reveals exact location of creature or object."
"9","Foresight: “Sixth sense” warns of impending danger."

