"1","Protection from Law: +2 to AC and saves, counter mind control, hedge out elementals and
              outsiders."
"2","Shatter: Sonic vibration damages objects or crystalline creatures."
"3","Magic Circle against Law: As protection spells, but 10-ft. radius and 10
              min./level."
"4","Chaos Hammer: Damages and staggers lawful creatures."
"5","Dispel Law: +4 bonus against attacks by lawful creatures."
"6","Animate Objects: Objects attack your foes."
"7","Word of Chaos: Kills, confuses, stuns, or deafens nonchaotic subjects."
"8","Cloak of Chaos F : +4 to AC, +4 resistance, SR 25 against lawful spells."
"9","Summon Monster IX*: Calls extraplanar creature to fight for you."

