"1","Protection from Good: +2 to AC and saves, counter mind control, hedge out elementals and
              outsiders."
"2","Desecrate M : Fills area with negative energy, making undead stronger."
"3","Magic Circle against Good: As protection spells, but 10-ft. radius and 10
              min./level."
"4","Unholy Blight: Damages and sickens good creatures."
"5","Dispel Good: +4 bonus against attacks by good creatures."
"6","Create Undead M : Create ghouls, ghasts, mummies, or mohrgs."
"7","Blasphemy: Kills, paralyzes, weakens, or dazes nonevil subjects."
"8","Unholy Aura F : +4 to AC, +4 resistance, SR 25 against good spells."
"9","Summon Monster IX*: Calls extraplanar creature to fight for you."

