"1","Magic Stone: Three stones become +1 projectiles, 1d6 +1 damage."
"2","Soften Earth and Stone: Turns stone to clay or dirt to sand or mud."
"3","Stone Shape: Sculpts stone into any shape."
"4","Spike Stones: Creatures in area take 1d8 damage, may be lowed."
"5","Wall of Stone: Creates a stone wall that can be shaped."
"6","Stoneskin M : Ignore 10 points of damage per attack."
"7","Earthquake: Intense tremor shakes 80-ft.-radius."
"8","Iron Body: Your body becomes living iron."
"9","Elemental Swarm*: Summons multiple elementals."

