"1","Magic Weapon: Weapon gains +1 bonus."
"2","Spiritual Weapon: Magical weapon attacks on its own."
"3","Magic Vestment: Armor or shield gains +1 enhancement per four levels."
"4","Divine Power: You gain attack bonus, +6 to Str, and 1 hp/level."
"5","Flame Strike: Smite foes with divine fire (1d6/level damage)."
"6","Blade Barrier: Wall of blades deals 1d6/level damage."
"7","Power Word Blind: Blinds creature with 200 hp or less."
"8","Power Word Stun: Stuns creature with 150 hp or less."
"9","Power Word Kill: Kills creature with 100 hp or less."

