"1","Sanctuary: Opponents can’t attack you, and you can’t attack."
"2","Shield Other F : You take half of subject’s damage."
"3","Protection from Energy: Absorb 12 points/level of damage from one kind of energy."
"4","Spell Immunity: Subject is immune to one spell per four levels."
"5","Spell Resistance: Subject gains SR 12 + level."
"6","Antimagic Field: Negates magic within 10 ft."
"7","Repulsion: Creatures can’t approach you."
"8","Mind Blank: Subject is immune to mental/emotional magic and scrying."
"9","Prismatic Sphere: As prismatic wall , but surrounds on all sides."

