"1","Protection from Chaos: +2 to AC and saves, counter mind control, hedge out elementals and
              outsiders."
"2","Calm Emotions: Calms creatures, negating emotion effects."
"3","Magic Circle against Chaos: As protection spells, but 10-ft. radius and 10
              min./level."
"4","Order’s Wrath: Damages and dazes chaotic creatures."
"5","Dispel Chaos: +4 bonus against attacks by chaotic creatures."
"6","Hold Monster: As hold person , but any creature."
"7","Dictum: Kills, paralyzes, slows, or deafens nonlawful subjects."
"8","Shield of Law F : +4 to AC, +4 resistance, and SR 25 against chaotic spells."
"9","Summon Monster IX*: Calls extraplanar creature to fight for you."

