"1","Longstrider: Increases your speed."
"2","Locate Object: Senses direction toward object (specific or type)."
"3","Fly: Subject flies at speed of 60 ft."
"4","Dimension Door: Teleports you short distance."
"5","Teleport: Instantly transports you as far as 100 miles/level."
"6","Find the Path: Shows most direct way to a location."
"7","Teleport, Greater: As teleport, but no range limit and no off-target arrival."
"8","Phase Door: Creates an invisible passage through wood or stone."
"9","Astral Projection M : Projects you and companions onto Astral Plane."

