"1","Cause Fear: One creature of 5 HD or less flees for 1d4 rounds."
"2","Death Knell: Kill dying creature and gain 1d8 temporary hp, +2 to Str, and +1 caster
              level."
"3","Animate Dead M : Creates undead skeletons and zombies."
"4","Death Ward: Grants immunity to death spells and negative energy effects."
"5","Slay Living: Touch attack kills subject."
"6","Create Undead M : Create ghouls, ghasts, mummies, or mohrgs."
"7","Destruction F : Kills subject and destroys remains."
"8","Create Greater Undead M : Create shadows, wraiths, spectres, r devourers."
"9","Wail of the Banshee: Kills one creature/level."

