"1","Cure Light Wounds: Cures 1d8 damage +1/level (max +5)."
"2","Cure Moderate Wounds: Cures 2d8 damage +1/level (max +10)."
"3","Cure Serious Wounds: Cures 3d8 damage +1/level (max +15)."
"4","Cure Critical Wounds: Cures 4d8 damage +1/level (max +20)."
"5","Cure Light Wounds, Mass: Cures 1d8 damage +1/level (max +25) for many creatures."
"6","Heal: Cures 10 points/level of damage, all diseases and mental conditions."
"7","Regenerate: Subject’s severed limbs grow back, cures 4d8 damage +1/level (max +35)."
"8","Cure Critical Wounds, Mass: Cures 4d8 damage +1/level (max +40) for many creatures."
"9","Heal, Mass: As heal , but with several subjects."

