"1","Enlarge Person: Humanoid creature doubles in size."
"2","Bull’s Strength: Subject gains +4 to Str for 1 min./level."
"3","Magic Vestment: Armor or shield gains +1 enhancement per four levels."
"4","Spell Immunity: Subject is immune to one spell per four levels."
"5","Righteous Might: Your size increases, and you gain combat bonuses."
"6","Stoneskin M : Ignore 10 points of damage per attack."
"7","Grasping Hand: Large hand provides cover, pushes, or grapples."
"8","Clenched Fist: Large hand provides cover, pushes, or attacks your foes."
"9","Crushing Hand: Large hand provides cover, pushes, or crushes your foes."

