"Table: Arcane Spell Scrolls"
"0-Level Arcane Spells"
"d%","Spell","Market Price"
"1st-Level Arcane Spells"
"d%","Spell","Market Price"
"2nd-Level Arcane Spells"
"d%","Spell","Market Price"
"3rd-Level Arcane Spells"
"d%","Spell","Market Price"
"4th-Level Arcane Spells"
"d%","Spell","Market Price"
"5th-Level Arcane Spells"
"d%","Spell","Market Price"
"6th-Level Arcane Spells"
"d%","Spell","Market Price"
"7th-Level Arcane Spells"
"d%","Spell","Market Price"
"8th-Level Arcane Spells"
"d%","Spell","Market Price"
"9th-Level Arcane Spells"
"d%","Spell","Market Price"
"01–04","acid splash","12 gp 5 sp"
"05–08","arcane mark","12 gp 5 sp"
"09–13","dancing lights","12 gp 5 sp"
"14–17","daze","12 gp 5 sp"
"18–24","detect magic","12 gp 5 sp"
"25–28","detect poison","12 gp 5 sp"
"29–32","disrupt undead","12 gp 5 sp"
"33–37","flare","12 gp 5 sp"
"38–42","ghost sound","12 gp 5 sp"
"43–44","know direction","12 gp 5 sp"
"45–50","light","12 gp 5 sp"
"51–52","lullaby","12 gp 5 sp"
"53–57","mage hand","12 gp 5 sp"
"58–62","mending","12 gp 5 sp"
"63–67","message","12 gp 5 sp"
"68–72","open/close","12 gp 5 sp"
"73–77","prestidigitation","12 gp 5 sp"
"78–81","ray of frost","12 gp 5 sp"
"82–87","read magic","12 gp 5 sp"
"88–94","resistance","12 gp 5 sp"
"95–96","summon instrument","12 gp 5 sp"
"97–100","touch of fatigue","12 gp 5 sp"
"01–03","alarm","25 gp"
"04–05","animate rope","25 gp"
"06–07","burning hands","25 gp"
"08–09","cause fear","25 gp"
"10–12","charm person","25 gp"
"13–14","chill touch","25 gp"
"15–16","color spray","25 gp"
"17–19","comprehend languages","25 gp"
"20","confusion, lesser","50 gp"
"21","cure light wounds","50 gp"
"22–24","detect secret doors","25 gp"
"25–26","detect undead","25 gp"
"27–29","disguise self","25 gp"
"30–32","endure elements","25 gp"
"33–35","enlarge person","25 gp"
"36–37","erase","25 gp"
"38–40","expeditious retreat","25 gp"
"41","feather fall","25 gp"
"42–43","grease","25 gp"
"44–45","hold portal","25 gp"
"46–47","hypnotism","25 gp"
"48–49","identify","125 gp"
"50–51","jump","25 gp"
"52–54","mage armor","25 gp"
"55–56","magic missile","25 gp"
"57–59","magic weapon","25 gp"
"60–62","mount","25 gp"
"63–64","magic aura","25 gp"
"65–66","obscuring mist","25 gp"
