"1","Inflict Light Wounds: Touch attack, 1d8 damage +1/level (max +5)."
"2","Shatter: Sonic vibration damages objects or crystalline creatures."
"3","Contagion: Infects subject with chosen disease."
"4","Inflict Critical Wounds: Touch attack, 4d8 damage +1/level (max +20)."
"5","Inflict Light Wounds, Mass: Deals 1d8 damage +1/level to any creatures."
"6","Harm: Deals 10 points/level damage to target."
"7","Disintegrate: Makes one creature or object vanish."
"8","Earthquake: Intense tremor shakes 80-ft.-radius."
"9","Implosion: Kills one creature/round."

