"1","Burning Hands: 1d4/level fire damage (max 5d4)."
"2","Produce Flame: 1d6 damage +1/ level, touch or thrown."
"3","Resist Energy*: Ignores 10 (or more) points of damage/attack from specified energy type."
"4","Wall of Fire: Deals 2d4 fire damage out to 10 ft. and 1d4 out to 20 ft. Passing through
              wall deals 2d6 damage +1/level."
"5","Fire Shield: Creatures attacking you take fire damage; you’re protected from heat or
              cold."
"6","Fire Seeds: Acorns and berries become grenades and bombs."
"7","Fire Storm: Deals 1d6/level fire damage."
"8","Incendiary Cloud: Cloud deals 4d6 fire damage/round."
"9","Elemental Swarm**: Summons multiple elementals."

