"1","Obscuring Mist: Fog surrounds you."
"2","Wind Wall: Deflects arrows, smaller creatures, and gases."
"3","Gaseous Form: Subject becomes insubstantial and can fly slowly."
"4","Air Walk: Subject treads on air as if solid (climb at 45-degree angle)."
"5","Control Winds: Change wind direction and speed."
"6","Chain Lightning: 1d6/level damage; 1 secondary bolt/level each deals half damage."
"7","Control Weather: Changes weather in local area."
"8","Whirlwind: Cyclone deals damage and can pick up creatures."
"9","Elemental Swarm*: Summons multiple elementals."

