"1","Entangle: Plants entangle everyone in 40-ft.-radius."
"2","Barkskin: Grants +2 (or higher) enhancement to natural armor."
"3","Plant Growth: Grows vegetation, improves crops."
"4","Command Plants: Sway the actions of one or more plant creatures."
"5","Wall of Thorns: Thorns damage anyone who tries to pass."
"6","Repel Wood: Pushes away wooden objects."
"7","Animate Plants: One or more trees animate and fight for you."
"8","Control Plants: Control actions of one or more plant creatures."
"9","Shambler: Summons 1d4+2 shambling mounds to fight for you."

