"1","Entropic Shield: Ranged attacks against you have 20% miss chance."
"2","Aid: +1 on attack rolls, +1 against fear, 1d8 temporary hp +1/level (max +10)."
"3","Protection from Energy: Absorb 12 points/level of damage from one kind of energy."
"4","Freedom of Movement: Subject moves normally despite impediments."
"5","Break Enchantment: Frees subjects from enchantments, alterations, curses, and
              petrification."
"6","Mislead: Turns you invisible and creates illusory double."
"7","Spell Turning: Reflect 1d4+6 spell levels back at caster."
"8","Moment of Prescience: You gain insight bonus on single attack roll, check, or save."
"9","Miracle X : Requests a deity’s intercession."

